0.1 978705
0.3 4.74289e+06
0.5 5.66565e+06
0.7 3.4075e+06
0.9 2.62909e+06
1.1 2.10122e+06
1.3 1.7301e+06
1.5 1.45524e+06
1.7 1.24698e+06
1.9 1.08286e+06
2.1 954542
2.3 849680
2.5 761020
2.7 688214
2.9 625218
3.1 571378
3.3 523984
3.5 482939
3.7 448032
3.9 416004
4.1 386859
4.3 362735
4.5 338708
4.7 318336
4.9 300150
5.1 281913
5.3 266496
5.5 252723
5.7 239021
5.9 227178
6.1 216530
6.3 205621
6.5 195965
6.7 186849
6.9 178969
7.1 170328
7.3 162763
7.5 155754
7.7 149629
7.9 143601
8.1 137787
8.3 132615
8.5 127859
8.7 122407
8.9 117678
9.1 113900
9.3 109501
9.5 105800
9.7 101811
9.9 98637
10.1 94826
10.3 92049
10.5 89083
10.7 85644
10.9 82758
11.1 79859
11.3 77780
11.5 75290
11.7 72793
11.9 70462
12.1 68227
12.3 66429
12.5 64238
12.7 61919
12.9 60376
13.1 58441
13.3 57003
13.5 55074
13.7 53738
13.9 52193
14.1 50740
14.3 48908
14.5 47780
14.7 46581
14.9 45465
15.1 43627
15.3 42039
15.5 41659
15.7 40060
15.9 39471
16.1 38358
16.3 36776
16.5 36120
16.7 35246
16.9 33973
17.1 33321
17.3 32279
17.5 31361
17.7 30372
17.9 29556
18.1 28947
18.3 27849
18.5 27042
18.7 26389
18.9 25212
19.1 25100
19.3 24386
19.5 23471
19.7 23048
19.9 22200
20.1 21439
20.3 20896
20.5 20408
20.7 19671
20.9 19074
21.1 18365
21.3 17593
21.5 17104
21.7 16401
21.9 16055
22.1 15622
22.3 15103
22.5 14568
22.7 13809
22.9 13584
23.1 12967
23.3 12367
23.5 11946
23.7 11395
23.9 10939
24.1 10680
24.3 10161
24.5 9667
24.7 9422
24.9 8699
25.1 8347
25.3 8062
25.5 7538
25.7 7132
25.9 6810
26.1 6304
26.3 5939
26.5 5651
26.7 5281
26.9 4957
27.1 4539
27.3 4095
27.5 3844
27.7 3361
27.9 3087
28.1 2745
28.3 2389
28.5 2092
28.7 1800
28.9 1414
29.1 1150
29.3 813
29.5 592
29.7 331
29.9 107
