0.0000 0.00000.66
0.1000 0.00720.66
0.2000 0.01230.66
0.3000 0.01640.66
0.4000 0.01990.66
0.5000 0.02270.66
0.6000 0.02500.66
0.7000 0.02680.66
0.8000 0.02820.66
0.9000 0.02930.66
1.0000 0.03020.66
1.1000 0.03090.66
1.2000 0.03160.66
1.3000 0.03220.66
1.4000 0.03280.66
1.5000 0.03340.66
1.6000 0.03400.66
1.7000 0.03460.66
1.8000 0.03520.66
1.9000 0.03580.66
2.0000 0.03650.66
2.1000 0.03720.66
2.2000 0.03790.66
2.3000 0.03870.66
2.4000 0.03940.66
2.5000 0.04020.66
2.6000 0.04100.66
2.7000 0.04190.66
2.8000 0.04270.66
2.9000 0.04360.66
3.0000 0.04450.66
3.1000 0.04540.66
3.2000 0.04630.66
3.3000 0.04730.66
3.4000 0.04830.66
3.5000 0.04930.66
3.6000 0.05030.66
3.7000 0.05130.66
3.8000 0.05240.66
3.9000 0.05350.66
4.0000 0.05460.66
4.1000 0.05580.66
4.2000 0.05700.66
4.3000 0.05820.66
4.4000 0.05940.66
4.5000 0.06070.66
4.6000 0.06200.66
4.7000 0.06340.66
4.8000 0.06470.66
4.9000 0.06620.66
5.0000 0.06760.66
5.1000 0.06910.66
5.2000 0.07060.66
5.3000 0.07220.66
5.4000 0.07380.66
5.5000 0.07550.66
5.6000 0.07720.66
5.7000 0.07900.66
5.8000 0.08080.66
5.9000 0.08260.66
6.0000 0.08460.66
6.1000 0.08650.66
6.2000 0.08860.66
6.3000 0.09070.66
6.4000 0.09280.66
6.5000 0.09500.66
6.6000 0.09730.66
6.7000 0.09970.66
6.8000 0.10210.66
6.9000 0.10460.66
7.0000 0.10720.66
7.1000 0.10980.66
7.2000 0.11260.66
7.3000 0.11540.66
7.4000 0.11830.66
7.5000 0.12130.66
7.6000 0.12440.66
7.7000 0.12760.66
7.8000 0.13090.66
7.9000 0.13430.66
8.0000 0.13780.66
8.1000 0.14140.66
8.2000 0.14510.66
8.3000 0.14900.66
8.4000 0.15300.66
8.5000 0.15700.66
8.6000 0.16130.66
8.7000 0.16560.66
8.8000 0.17010.66
8.9000 0.17480.66
9.0000 0.17960.66
9.1000 0.18450.66
9.2000 0.18960.66
9.3000 0.19490.66
9.4000 0.20030.66
9.5000 0.20590.66
9.6000 0.21170.66
9.7000 0.21760.66
9.8000 0.22380.66
9.9000 0.23010.66
10.0000 0.23670.66
10.1000 0.24340.66
10.2000 0.25040.66
10.3000 0.25760.66
10.4000 0.26500.66
10.5000 0.27270.66
10.6000 0.28050.66
10.7000 0.28870.66
10.8000 0.29700.66
10.9000 0.30560.66
11.0000 0.31450.66
11.1000 0.32370.66
11.2000 0.33310.66
11.3000 0.34280.66
11.4000 0.35280.66
11.5000 0.36310.66
11.6000 0.37370.66
11.7000 0.38450.66
11.8000 0.39570.66
11.9000 0.40720.66
12.0000 0.41900.66
12.1000 0.43110.66
12.2000 0.44350.66
12.3000 0.45630.66
12.4000 0.46940.66
12.5000 0.48280.66
12.6000 0.49650.66
12.7000 0.51060.66
12.8000 0.52500.66
12.9000 0.53970.66
13.0000 0.55470.66
13.1000 0.57000.66
13.2000 0.58570.66
13.3000 0.60170.66
13.4000 0.61790.66
13.5000 0.63450.66
13.6000 0.65130.66
13.7000 0.66840.66
13.8000 0.68580.66
13.9000 0.70350.66
14.0000 0.72130.66
14.1000 0.73940.66
14.2000 0.75770.66
14.3000 0.77620.66
14.4000 0.79490.66
14.5000 0.81370.66
14.6000 0.83270.66
14.7000 0.85180.66
14.8000 0.87090.66
14.9000 0.89020.66
15.0000 0.90940.66
15.1000 0.92870.66
15.2000 0.94790.66
15.3000 0.96710.66
15.4000 0.98620.66
15.5000 1.00510.66
15.6000 1.02390.66
15.7000 1.04250.66
15.8000 1.06080.66
15.9000 1.07890.66
16.0000 1.09660.66
16.1000 1.11390.66
16.2000 1.13070.66
16.3000 1.14710.66
16.4000 1.16290.66
16.5000 1.17810.66
16.6000 1.19260.66
16.7000 1.20640.66
16.8000 1.21950.66
16.9000 1.23160.66
17.0000 1.24290.66
17.1000 1.25320.66
17.2000 1.26240.66
17.3000 1.27060.66
17.4000 1.27770.66
17.5000 1.28360.66
17.6000 1.28840.66
17.7000 1.29190.66
17.8000 1.29420.66
17.9000 1.29510.66
18.0000 1.29490.66
18.1000 1.29330.66
18.2000 1.29050.66
18.3000 1.28640.66
18.4000 1.28100.66
18.5000 1.27450.66
18.6000 1.26680.66
18.7000 1.25790.66
18.8000 1.24790.66
18.9000 1.23680.66
19.0000 1.22480.66
19.1000 1.21180.66
19.2000 1.19800.66
19.3000 1.18330.66
19.4000 1.16780.66
19.5000 1.15170.66
19.6000 1.13490.66
19.7000 1.11760.66
19.8000 1.09980.66
19.9000 1.08150.66
20.0000 1.06290.66
20.1000 1.04390.66
20.2000 1.02470.66
20.3000 1.00530.66
20.4000 0.98580.66
20.5000 0.96610.66
20.6000 0.94640.66
20.7000 0.92670.66
20.8000 0.90700.66
20.9000 0.88740.66
21.0000 0.86790.66
21.1000 0.84850.66
21.2000 0.82940.66
21.3000 0.81040.66
21.4000 0.79160.66
21.5000 0.77300.66
21.6000 0.75470.66
21.7000 0.73670.66
21.8000 0.71900.66
21.9000 0.70160.66
22.0000 0.68450.66
22.1000 0.66770.66
22.2000 0.65120.66
22.3000 0.63510.66
22.4000 0.61930.66
22.5000 0.60380.66
22.6000 0.58870.66
