1.75  0.910 0.059 0.061
2.50  0.824 0.068 0.072
3.25  0.846 0.112 0.124
4.00  0.891 0.123 0.138
5.00  0.931 0.162 0.192
6.00  0.965 0.200 0.241
7.00  1.510 0.247 0.275
8.83  0.948 0.566 0.948
