5.996000e+00	6.000000e+00	9.600000e-01	1.619210e-03	3.518061e-05	20
5.890000e+00	6.000000e+00	4.920000e-01	1.652584e-03	9.917520e-05	18
5.840800e+00	6.000000e+00	6.714000e-01	1.886778e-03	1.665914e-04	17
6.000000e+00	6.000000e+00	1.561700e-01	1.714156e-03	2.643929e-05	2
6.000000e+00	6.000000e+00	8.862800e-01	1.720984e-03	2.656309e-05	1
5.947000e+00	6.000000e+00	7.087000e-01	1.756089e-03	2.456623e-05	28
6.850000e+00	7.100000e+00	4.681000e-01	9.078739e-04	5.448586e-05	18
7.300000e+00	7.100000e+00	8.246000e-01	1.021437e-03	2.384298e-05	15
7.000000e+00	7.100000e+00	1.434100e-01	1.048802e-03	2.543625e-05	2
7.000000e+00	7.100000e+00	8.466500e-01	1.104006e-03	2.691783e-05	1
6.993000e+00	7.100000e+00	5.992000e-01	1.060139e-03	1.485220e-05	28
7.988000e+00	8.000000e+00	9.520000e-01	6.903843e-04	1.941706e-05	20
7.850000e+00	8.000000e+00	4.443000e-01	7.041826e-04	4.225679e-05	18
7.992000e+00	8.000000e+00	4.775000e-01	7.226476e-04	1.085030e-05	28
8.830000e+00	9.000000e+00	1.241200e-01	4.962936e-04	1.979570e-05	2
9.002000e+00	9.000000e+00	6.478000e-01	5.151797e-04	7.737718e-06	28
9.052600e+00	9.000000e+00	3.322000e-01	4.903397e-04	1.079034e-05	29
1.000400e+01	9.900000e+00	9.440000e-01	3.600627e-04	1.390587e-05	20
9.629000e+00	9.900000e+00	7.950000e-01	3.590194e-04	9.992469e-06	15
9.983900e+00	9.900000e+00	8.449000e-01	3.750720e-04	1.450590e-05	14
9.559400e+00	9.900000e+00	1.819000e-01	3.483789e-04	4.799532e-05	6
9.807000e+00	9.900000e+00	5.796000e-01	3.793284e-04	5.692187e-06	28
1.199000e+01	1.220000e+01	7.677000e-01	1.927345e-04	5.715245e-06	15
1.256780e+01	1.220000e+01	3.011000e-01	1.815537e-04	5.826892e-06	29
1.206000e+01	1.220000e+01	3.559000e-01	1.845864e-04	4.061804e-06	29
1.572000e+01	1.575000e+01	7.269000e-01	8.292678e-05	4.336283e-06	15
1.575490e+01	1.575000e+01	3.088000e-01	8.333925e-05	2.252246e-06	29
