0.49 0.966 0.022 0.011
0.79 0.950 0.015 0.017
1.18 0.869 0.014 0.027
1.48 0.798 0.033 0.035
1.77 0.728 0.026 0.047
1.88 0.720 0.031 0.060
2.47 0.726 0.027 0.062
2.97 0.612 0.032 0.056
3.47 0.609 0.047 0.045
3.50 0.571 0.072 0.007
3.97 0.482 0.052 0.008
4.75 0.382 0.053 0.011
5.54 0.273 0.087 0.028


