   0.65                   1.020      0.059
   0.91                   0.895      0.048
   2.20                   0.805      0.107
   2.75                   0.783      0.101
   3.75                   0.752      0.204
   4.20                   1.177      0.147
   5.20                   1.145      0.491





