18.6000 2.7811 1.2668
18.7000 2.7426 1.2579
18.8000 2.7031 1.2479
18.9000 2.6627 1.2368
19.0000 2.6216 1.2248
19.1000 2.5797 1.2118
19.2000 2.5374 1.1980
19.3000 2.4945 1.1833
19.4000 2.4513 1.1678
19.5000 2.4079 1.1517
19.6000 2.3642 1.1349
19.7000 2.3205 1.1176
19.8000 2.2768 1.0998
19.9000 2.2331 1.0815
20.0000 2.1896 1.0629
20.1000 2.1463 1.0439
20.2000 2.1033 1.0247
20.3000 2.0606 1.0053
20.4000 2.0182 0.9858
20.5000 1.9763 0.9661
20.6000 1.9349 0.9464
20.7000 1.8939 0.9267
20.8000 1.8535 0.9070
20.9000 1.8137 0.8874
21.0000 1.7745 0.8679
21.1000 1.7358 0.8485
21.2000 1.6978 0.8294
21.3000 1.6605 0.8104
21.4000 1.6238 0.7916
21.5000 1.5878 0.7730
21.6000 1.5525 0.7547
21.7000 1.5179 0.7367
21.8000 1.4840 0.7190
21.9000 1.4507 0.7016
22.0000 1.4182 0.6845
22.1000 1.3863 0.6677
22.2000 1.3551 0.6512
22.3000 1.3247 0.6351
22.4000 1.2949 0.6193
22.5000 1.2657 0.6038
22.6000 1.2373 0.5887
22.7000 1.2094 0.5739
22.8000 1.1823 0.5595
22.9000 1.1558 0.5454
23.0000 1.1299 0.5317
23.1000 1.1046 0.5182
23.2000 1.0799 0.5052
23.3000 1.0558 0.4924
23.4000 1.0323 0.4800
23.5000 1.0094 0.4678
23.6000 0.9870 0.4560
23.7000 0.9652 0.4446
23.8000 0.9439 0.4334
23.9000 0.9231 0.4225
24.0000 0.9029 0.4119
24.1000 0.8831 0.4015
24.2000 0.8638 0.3915
24.3000 0.8450 0.3817
24.4000 0.8267 0.3722
24.5000 0.8088 0.3630
24.6000 0.7914 0.3540
24.7000 0.7744 0.3453
24.8000 0.7578 0.3368
24.9000 0.7416 0.3285
25.0000 0.7258 0.3205
25.1000 0.7104 0.3127
25.2000 0.6954 0.3051
25.3000 0.6807 0.2977
25.4000 0.6664 0.2905
25.5000 0.6525 0.2835
25.6000 0.6389 0.2768
25.7000 0.6256 0.2702
25.8000 0.6126 0.2637
25.9000 0.6000 0.2575
26.0000 0.5876 0.2514
26.1000 0.5756 0.2455
26.2000 0.5638 0.2398
26.3000 0.5523 0.2342
26.4000 0.5411 0.2288
26.5000 0.5301 0.2235
26.6000 0.5194 0.2184
26.7000 0.5090 0.2134
26.8000 0.4988 0.2085
26.9000 0.4888 0.2038
27.0000 0.4791 0.1992
27.1000 0.4696 0.1947
27.2000 0.4603 0.1904
27.3000 0.4512 0.1862
27.4000 0.4424 0.1820
27.5000 0.4337 0.1780
27.6000 0.4252 0.1741
27.7000 0.4169 0.1703
27.8000 0.4088 0.1666
27.9000 0.4009 0.1630
28.0000 0.3932 0.1595
28.1000 0.3856 0.1561
28.2000 0.3782 0.1527
28.3000 0.3710 0.1495
28.4000 0.3639 0.1463
28.5000 0.3570 0.1433
28.6000 0.3502 0.1403
28.7000 0.3435 0.1373
28.8000 0.3370 0.1345
28.9000 0.3307 0.1317
29.0000 0.3245 0.1290
29.1000 0.3184 0.1264
29.2000 0.3124 0.1238
29.3000 0.3066 0.1213
29.4000 0.3009 0.1189
29.5000 0.2953 0.1165
29.6000 0.2898 0.1141
29.7000 0.2844 0.1119
29.8000 0.2792 0.1097
29.9000 0.2740 0.1075
30.0000 0.2690 0.1054
30.1000 0.2640 0.1034
30.2000 0.2592 0.1014
30.3000 0.2544 0.0994
30.4000 0.2498 0.0975
30.5000 0.2452 0.0956
30.6000 0.2407 0.0938
30.7000 0.2363 0.0921
30.8000 0.2320 0.0903
30.9000 0.2278 0.0886
31.0000 0.2237 0.0870
31.1000 0.2196 0.0854
31.2000 0.2157 0.0838
31.3000 0.2117 0.0823
31.4000 0.2079 0.0808
31.5000 0.2042 0.0793
31.6000 0.2005 0.0779
31.7000 0.1969 0.0765
31.8000 0.1933 0.0751
31.9000 0.1898 0.0738
32.0000 0.1864 0.0725
32.1000 0.1830 0.0712
32.2000 0.1797 0.0700
32.3000 0.1765 0.0687
32.4000 0.1733 0.0676
32.5000 0.1702 0.0664
32.6000 0.1671 0.0653
32.7000 0.1641 0.0642
32.8000 0.1612 0.0631
32.9000 0.1583 0.0620
33.0000 0.1554 0.0610
