      7.7000      0.9524      0.0084      1.0302      0.1160      1.0817      0.1276
      7.8000      0.9499      0.0085      1.0378      0.1187      1.0925      0.1309
      7.9000      0.9474      0.0086      1.0456      0.1215      1.1037      0.1343
      8.0000      0.9450      0.0086      1.0537      0.1243      1.1151      0.1378
      8.1000      0.9425      0.0087      1.0621      0.1273      1.1269      0.1414
      8.2000      0.9401      0.0088      1.0707      0.1303      1.1390      0.1451
      8.3000      0.9376      0.0089      1.0795      0.1334      1.1514      0.1490
      8.4000      0.9351      0.0090      1.0886      0.1366      1.1641      0.1530
      8.5000      0.9327      0.0090      1.0980      0.1399      1.1772      0.1570
      8.6000      0.9302      0.0091      1.1076      0.1433      1.1907      0.1613
      8.7000      0.9278      0.0092      1.1175      0.1468      1.2045      0.1656
      8.8000      0.9254      0.0093      1.1277      0.1504      1.2187      0.1701
      8.9000      0.9229      0.0094      1.1382      0.1541      1.2332      0.1748
      9.0000      0.9205      0.0095      1.1489      0.1579      1.2482      0.1796
      9.1000      0.9180      0.0095      1.1599      0.1618      1.2635      0.1845
      9.2000      0.9156      0.0096      1.1712      0.1659      1.2791      0.1896
      9.3000      0.9132      0.0097      1.1828      0.1700      1.2952      0.1949
      9.4000      0.9108      0.0098      1.1947      0.1743      1.3117      0.2003
      9.5000      0.9084      0.0099      1.2069      0.1787      1.3286      0.2059
      9.6000      0.9060      0.0100      1.2194      0.1832      1.3460      0.2117
      9.7000      0.9036      0.0101      1.2323      0.1879      1.3637      0.2176
      9.8000      0.9012      0.0102      1.2454      0.1927      1.3819      0.2238
      9.9000      0.8988      0.0103      1.2589      0.1977      1.4005      0.2301
     10.0000      0.8965      0.0104      1.2726      0.2028      1.4196      0.2367
     10.1000      0.8941      0.0104      1.2868      0.2080      1.4391      0.2434
     10.2000      0.8918      0.0105      1.3012      0.2134      1.4591      0.2504
     10.3000      0.8894      0.0106      1.3160      0.2190      1.4796      0.2576
     10.4000      0.8871      0.0107      1.3311      0.2247      1.5005      0.2650
     10.5000      0.8848      0.0108      1.3466      0.2306      1.5220      0.2727
     10.6000      0.8824      0.0109      1.3624      0.2367      1.5439      0.2805
     10.7000      0.8801      0.0110      1.3785      0.2429      1.5663      0.2887
     10.8000      0.8778      0.0111      1.3951      0.2493      1.5892      0.2970
     10.9000      0.8755      0.0112      1.4119      0.2559      1.6126      0.3056
     11.0000      0.8733      0.0113      1.4292      0.2627      1.6366      0.3145
     11.1000      0.8710      0.0114      1.4467      0.2696      1.6610      0.3237
     11.2000      0.8688      0.0115      1.4647      0.2768      1.6860      0.3331
     11.3000      0.8665      0.0116      1.4830      0.2841      1.7115      0.3428
     11.4000      0.8643      0.0117      1.5017      0.2916      1.7375      0.3528
     11.5000      0.8621      0.0118      1.5207      0.2994      1.7640      0.3631
     11.6000      0.8598      0.0119      1.5401      0.3073      1.7911      0.3737
     11.7000      0.8576      0.0120      1.5598      0.3155      1.8187      0.3845
     11.8000      0.8555      0.0121      1.5799      0.3238      1.8468      0.3957
     11.9000      0.8533      0.0122      1.6003      0.3324      1.8755      0.4072
     12.0000      0.8511      0.0123      1.6211      0.3412      1.9046      0.4190
     12.1000      0.8490      0.0124      1.6422      0.3502      1.9343      0.4311
     12.2000      0.8468      0.0125      1.6636      0.3594      1.9645      0.4435
     12.3000      0.8447      0.0125      1.6854      0.3688      1.9952      0.4563
     12.4000      0.8426      0.0126      1.7074      0.3785      2.0264      0.4694
     12.5000      0.8405      0.0127      1.7298      0.3883      2.0580      0.4828
     12.6000      0.8384      0.0128      1.7524      0.3984      2.0901      0.4965
     12.7000      0.8364      0.0129      1.7753      0.4087      2.1227      0.5106
     12.8000      0.8343      0.0130      1.7985      0.4192      2.1556      0.5250
     12.9000      0.8323      0.0131      1.8218      0.4299      2.1890      0.5397
     13.0000      0.8302      0.0132      1.8454      0.4408      2.2228      0.5547
     13.1000      0.8282      0.0133      1.8691      0.4519      2.2568      0.5700
     13.2000      0.8262      0.0134      1.8931      0.4632      2.2913      0.5857
     13.3000      0.8242      0.0135      1.9171      0.4747      2.3259      0.6017
     13.4000      0.8222      0.0136      1.9412      0.4864      2.3609      0.6179
     13.5000      0.8203      0.0137      1.9654      0.4983      2.3960      0.6345
     13.6000      0.8183      0.0138      1.9896      0.5103      2.4313      0.6513
     13.7000      0.8164      0.0139      2.0138      0.5226      2.4667      0.6684
     13.8000      0.8145      0.0140      2.0379      0.5349      2.5021      0.6858
     13.9000      0.8126      0.0141      2.0620      0.5474      2.5375      0.7035
     14.0000      0.8107      0.0142      2.0859      0.5601      2.5729      0.7213
     14.1000      0.8088      0.0143      2.1095      0.5729      2.6081      0.7394
     14.2000      0.8070      0.0144      2.1329      0.5858      2.6431      0.7577
     14.3000      0.8051      0.0145      2.1560      0.5988      2.6779      0.7762
     14.4000      0.8033      0.0147      2.1787      0.6119      2.7123      0.7949
     14.5000      0.8015      0.0148      2.2010      0.6251      2.7462      0.8137
     14.6000      0.7997      0.0149      2.2228      0.6383      2.7796      0.8327
     14.7000      0.7979      0.0150      2.2440      0.6516      2.8124      0.8518
     14.8000      0.7961      0.0151      2.2646      0.6649      2.8445      0.8709
     14.9000      0.7944      0.0152      2.2844      0.6782      2.8757      0.8902
     15.0000      0.7926      0.0153      2.3035      0.6916      2.9061      0.9094
     15.1000      0.7909      0.0154      2.3217      0.7049      2.9354      0.9287
     15.2000      0.7892      0.0155      2.3390      0.7181      2.9637      0.9479
