1.577092e+00    1.063116e+00      	    -1.453e-02	
4.543446e+00    1.022450e+00      		-3.494e-02
5.947080e+00    1.001913e+00      		-2.441e-02
6.992851e+00    9.805081e-01      		-1.530e-02
7.991791e+00    9.528648e-01        	-8.627-03
9.002102e+00    9.431682e-01     	    -8.116e-03
9.807304e+00    9.259959e-01       	    -5.263e-03
1.118707e+01    8.987696e-01     	    -2.217e-03
1.858485e+00    1.051888e+00      	    -1.393e-02
9.052590e+00    9.228041e-01            -4.009e-03
1.256782e+01	8.502053e-01    	     -6.988e-04
1.575487e+01    8.309650e-01      	     7.340e-05
1.206914e+01	8.667638e-01            -1.108e-03
