0.0000 1.0000 0.0000
0.1000 0.9848 0.0034
0.2000 0.9769 0.0059
0.3000 0.9755 0.0077
0.4000 0.9790 0.0087
0.5000 0.9854 0.0093
0.6000 0.9933 0.0095
0.7000 1.0014 0.0094
0.8000 1.0093 0.0093
0.9000 1.0165 0.0090
1.0000 1.0230 0.0088
1.1000 1.0286 0.0085
1.2000 1.0336 0.0083
1.3000 1.0378 0.0081
1.4000 1.0413 0.0079
1.5000 1.0443 0.0077
1.6000 1.0468 0.0075
1.7000 1.0488 0.0074
1.8000 1.0504 0.0073
1.9000 1.0516 0.0072
2.0000 1.0525 0.0071
2.1000 1.0532 0.0070
2.2000 1.0535 0.0069
2.3000 1.0537 0.0069
2.4000 1.0536 0.0068
2.5000 1.0534 0.0068
2.6000 1.0530 0.0067
2.7000 1.0524 0.0067
2.8000 1.0517 0.0067
2.9000 1.0509 0.0067
3.0000 1.0499 0.0067
3.1000 1.0489 0.0067
3.2000 1.0477 0.0066
3.3000 1.0465 0.0066
3.4000 1.0451 0.0066
3.5000 1.0437 0.0066
3.6000 1.0422 0.0066
3.7000 1.0407 0.0067
3.8000 1.0391 0.0067
3.9000 1.0374 0.0067
4.0000 1.0357 0.0067
4.1000 1.0339 0.0067
4.2000 1.0321 0.0067
4.3000 1.0302 0.0067
4.4000 1.0283 0.0068
4.5000 1.0263 0.0068
4.6000 1.0243 0.0068
4.7000 1.0223 0.0068
4.8000 1.0202 0.0069
4.9000 1.0181 0.0069
5.0000 1.0160 0.0069
5.1000 1.0138 0.0070
5.2000 1.0117 0.0070
5.3000 1.0095 0.0070
5.4000 1.0072 0.0071
5.5000 1.0050 0.0071
5.6000 1.0027 0.0072
5.7000 1.0004 0.0072
5.8000 0.9981 0.0072
5.9000 0.9958 0.0073
6.0000 0.9935 0.0073
6.1000 0.9911 0.0074
6.2000 0.9888 0.0074
6.3000 0.9864 0.0075
6.4000 0.9840 0.0076
6.5000 0.9816 0.0076
6.6000 0.9792 0.0077
6.7000 0.9768 0.0077
6.8000 0.9744 0.0078
6.9000 0.9719 0.0079
7.0000 0.9695 0.0079
7.1000 0.9671 0.0080
7.2000 0.9646 0.0081
7.3000 0.9622 0.0081
7.4000 0.9597 0.0082
7.5000 0.9573 0.0083
7.6000 0.9548 0.0083
